OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
221,070-0023,9502-000,Sentier de ski de fond,L'Île-Bizard-Sainte-Geneviève,Plein air
222,073-0066-76-S1,2476-000,Soccer sous-terrain à 7,LaSalle,Sportif
223,003-0382,1235-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
224,042-0039,0948-000,Jeux d'eau,Villeray-Saint-Michel-Parc-Extension,Récréatif
225,052-0126,2012-000,Patinoire avec bandes,Anjou,Récréatif
226,007-0001,0206-000,Aire de lancer athlétisme,Rosemont-La Petite-Patrie,Sportif
227,003-0194,0592-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
228,075-0020,2430-007,Soccer à 4-5,Lachine,Sportif
229,042-0133,2006-000,Jeux d'eau,Anjou,Récréatif
230,031-0009,2609-000,Étang / lac,Outremont,Plein air
231,052-0060,0043-000,Patinoire avec bandes,Ville-Marie,Récréatif
232,049-0006,0010-000,Pastille - Basketball,Ahuntsic-Cartierville,Récréatif
233,003-0215,2732-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
234,032-0008,0126-000,Fer / Galet,Rosemont-La Petite-Patrie,Loisirs et détente
235,004-0407,0086-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
236,095-0009,0047-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
237,073-0030-76-S1,0401-000,Soccer sous-terrain à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
238,089-0049, ,Volleyball de plage,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
239,018-0134,2012-000,Basketball,Anjou,Récréatif
240,073-0079-76-S1, ,Soccer sous-terrain à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
241,052-0094,2469-000,Patinoire avec bandes,LaSalle,Récréatif
242,004-0308,0341-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
243,003-0137,0196-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
244,076-0085,2442-000,Soccer à 7,LaSalle,Sportif
245,002-0011,0025-000,Aire de glissade,Ahuntsic-Cartierville,Loisirs et détente
246,003-0218,2719-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
247,076-0109,1648-286,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
248,049-0002,2815-000,Pastille - Basketball,Saint-Laurent,Récréatif
249,050-0033,0220-000,Pataugeoire,Rosemont-La Petite-Patrie,Récréatif
