OBJECTID,ID,INDEX_PARC,NOM,ARROND,TYPE
825,003-0279,0157-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
826,070-0015,0085-000,Sentier de ski de fond,Rosemont-La Petite-Patrie,Plein air
827,004-0253,2894-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
828,004-0102,1186-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
829,004-0375,0695-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
830,021-0031,2466-000,Bocce,LaSalle,Loisirs et détente
831,073-0066,2476-000,Soccer à 11,LaSalle,Sportif
832,052-0045,0209-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
833,050-0011,0061-000,Pataugeoire,Le Plateau-Mont-Royal,Récréatif
834,071-0062, ,Sentier pédestre,Anjou,Plein air
835,073-0033,0401-000,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
836,012-0034,0188-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
837,075-0058,0875-000,Soccer à 4-5,Le Sud-Ouest,Sportif
838,054-0019,0596-018,Ping-pong,Ville-Marie,Loisirs et détente
839,003-0393,0718-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
840,076-0040,0937-000,Soccer à 7,Villeray-Saint-Michel-Parc-Extension,Sportif
841,010-0010,0941-000,Aire de planche à roulette,Villeray-Saint-Michel-Parc-Extension,Récréatif
842,004-0155, ,Aire de jeu  5 à 12 ans,Outremont,Aire de jeu - enfant
843,034-0003,2818-000,Football,Saint-Laurent,Sportif
844,042-0007,2807-000,Jeux d'eau,Saint-Laurent,Récréatif
845,018-0122,2562-000,Basketball,Montréal-Nord,Récréatif
846,004-0151,1147-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
847,076-0127, ,Soccer à 7,Mercier-Hochelaga-Maisonneuve,Sportif
848,004-0380,2551-000,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
849,003-0113,0202-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
850,081-0093,2012-000,Tennis,Anjou,Sportif
851,004-0077,1103-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
852,081-0096,2853-000,Tennis,Saint-Léonard,Sportif
853,011-0003,0094-000,Aire de tir à l'arc,Mercier-Hochelaga-Maisonneuve,Sportif
854,004-0272,2912-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
855,003-0359,0797-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
856,018-0025,0011-000,Basketball,Ahuntsic-Cartierville,Récréatif
857,052-0076,0146-000,Patinoire avec bandes,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
858,081-0010,0224-000,Tennis,Le Plateau-Mont-Royal,Sportif
859,018-0097,2464-000,Basketball,LaSalle,Récréatif
860,004-0295,2460-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
861,076-0030,0127-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
862,082-0001,0061-000,Théâtre extérieur,Le Plateau-Mont-Royal,Loisirs et détente
863,095-0006,0594-000,Pétanque,Le Plateau-Mont-Royal,Loisirs et détente
864,018-0125,1267-000,Basketball,Mercier-Hochelaga-Maisonneuve,Récréatif
865,003-0411,0971-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
866,095-0058,0260-002,Pétanque,Le Sud-Ouest,Loisirs et détente
867,081-0037,2653-000,Tennis,Pierrefonds-Roxboro,Sportif
868,019-0001,0391-000,Bassin olympique,Ville-Marie,Sportif
869,012-0049,0356-000,Aire d'entraînement pour adultes,Le Sud-Ouest,Loisirs et détente
870,018-0120,2556-000,Basketball,Montréal-Nord,Récréatif
871,004-0135,0198-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
872,003-0144,0302-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
873,050-0070,2556-000,Pataugeoire,Montréal-Nord,Récréatif
874,016-0128,2551-000,Balle,Montréal-Nord,Sportif
875,004-0103,0291-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
876,005-0004,0295-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
877,042-0069,0170-000,Jeux d'eau,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
878,075-0018,2430-006,Soccer à 4-5,Lachine,Sportif
879,052-0103,0704-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
880,004-0007,2798-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
881,071-0037,2681-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
882,042-0047,1269-000,Jeux d'eau,Ville-Marie,Récréatif
883,005-0006,0238-000,Aire de jeu combiné,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
884,055-0006,2813-000,Piscine extérieure,Saint-Laurent,Récréatif
885,056-0013,9502-000,Piste cyclable,L'Île-Bizard-Sainte-Geneviève,Plein air
886,076-0108,1648-286,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
887,073-0065,2442-000,Soccer à 11,LaSalle,Sportif
888,016-0061,0401-000,Balle,Villeray-Saint-Michel-Parc-Extension,Sportif
889,052-0056,0938-000,Patinoire avec bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
890,052-0125,2010-000,Patinoire avec bandes,Anjou,Récréatif
891,004-0098,2423-000,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
892,073-0008, ,Soccer à 11,Saint-Laurent,Sportif
893,081-0067,2464-000,Tennis,LaSalle,Sportif
894,003-0314,2914-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
895,076-0033,0196-000,Soccer à 7,Rosemont-La Petite-Patrie,Sportif
896,055-0008,2799-000,Piscine extérieure,Saint-Laurent,Récréatif
897,021-0051,2010-000,Bocce,Anjou,Loisirs et détente
898,055-0050,2466-000,Piscine extérieure,LaSalle,Récréatif
899,032-0021,2398-000,Fer / Galet,Lachine,Loisirs et détente
900,009-0045,2567-000,Aire de pique-nique,Montréal-Nord,Plein air
901,053-0012,0023-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
902,062-0003,0219-000,Plancher de danse,Rosemont-La Petite-Patrie,Loisirs et détente
903,004-0337,0926-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
904,018-0100,0342-000,Basketball,Le Sud-Ouest,Récréatif
905,004-0442,2869-000,Aire de jeu  5 à 12 ans,Saint-Léonard,Aire de jeu - enfant
906,004-0426,0115-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
907,052-0040,0202-000,Patinoire avec bandes,Rosemont-La Petite-Patrie,Récréatif
908,089-0047,1840-000,Volleyball de plage,Le Sud-Ouest,Récréatif
909,004-0124,0243-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
910,021-0026,0160-000,Bocce,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
911,056-0008,0391-000,Piste cyclable,Ville-Marie,Plein air
912,042-0034,1173-000,Jeux d'eau,Rosemont-La Petite-Patrie,Récréatif
913,010-0015,2348-000,Aire de planche à roulette,L'Île-Bizard-Sainte-Geneviève,Récréatif
914,004-0073,0010-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
915,004-0302,2466-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
916,071-0034,0225-000,Sentier pédestre,Ville-Marie,Plein air
917,003-0220,2667-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
918,095-0011,0018-000,Pétanque,Ahuntsic-Cartierville,Loisirs et détente
919,095-0004,2816-000,Pétanque,Saint-Laurent,Loisirs et détente
920,003-0259,2369-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
921,012-0033,0482-000,Aire d'entraînement pour adultes,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
922,012-0019,0509-000,Aire d'entraînement pour adultes,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
923,004-0405,0099-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
924,072-0020,2662-000,Anneau / Rond de glace,Pierrefonds-Roxboro,Loisirs et détente
925,001-0014,0986-000,Arbri soleil,Rivière-des-Prairies-Pointe-aux-Trembles,Plein air
926,073-0038,0270-000,Soccer à 11,Ville-Marie,Sportif
927,053-0009,0007-000,Patinoire sans bandes,Ahuntsic-Cartierville,Récréatif
928,031-0014,0341-000,Étang / lac,Le Sud-Ouest,Plein air
929,073-0031,0401-000,Soccer à 11,Villeray-Saint-Michel-Parc-Extension,Sportif
930,009-0002,2798-000,Aire de pique-nique,Saint-Laurent,Plein air
931,016-0018,0424-000,Balle,Ahuntsic-Cartierville,Sportif
932,075-0013,2391-000,Soccer à 4-5,Lachine,Sportif
933,016-0137,0097-000,Balle,Mercier-Hochelaga-Maisonneuve,Sportif
934,058-0012,2442-000,Piste d'athlétisme (400m) et équipements,LaSalle,Sportif
935,081-0063,2451-000,Tennis,LaSalle,Sportif
936,055-0042,2907-000,Piscine extérieure,Verdun,Récréatif
937,004-0419,0110-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
938,021-0041,0973-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
939,003-0352,0348-000,Aire de jeu 18 mois à 5 ans,Le Sud-Ouest,Aire de jeu - enfant
940,003-0196,0384-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
941,004-0154, ,Aire de jeu  5 à 12 ans,Outremont,Aire de jeu - enfant
942,013-0011,0012-000,Aire d'exercice canin,Ahuntsic-Cartierville,Loisirs et détente
943,005-0039,2874-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
944,021-0038,0983-000,Bocce,Rivière-des-Prairies-Pointe-aux-Trembles,Loisirs et détente
945,095-0079,0105-000,Pétanque,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
946,075-0044,2348-000,Soccer à 4-5,L'Île-Bizard-Sainte-Geneviève,Sportif
947,003-0306,2903-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
948,010-0005,2397-000,Aire de planche à roulette,Lachine,Récréatif
949,004-0138,0401-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
950,003-0346,2467-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
951,089-0013,0061-000,Volleyball de plage,Le Plateau-Mont-Royal,Récréatif
952,076-0089,2465-000,Soccer à 7,LaSalle,Sportif
953,002-0030,0494-000,Aire de glissade,Mercier-Hochelaga-Maisonneuve,Loisirs et détente
954,053-0075,0974-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
955,003-0401,0700-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
956,074-0022,2469-000,Soccer / Football,LaSalle,Sportif
957,050-0061,0376-000,Pataugeoire,Le Sud-Ouest,Récréatif
958,075-0049,0157-000,Soccer à 4-5,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
959,003-0408,0974-000,Aire de jeu 18 mois à 5 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
960,050-0008,2807-000,Pataugeoire,Saint-Laurent,Récréatif
961,004-0377, ,Aire de jeu  5 à 12 ans,Montréal-Nord,Aire de jeu - enfant
962,095-0034,0126-000,Pétanque,Rosemont-La Petite-Patrie,Loisirs et détente
963,003-0285,0140-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
964,050-0066,0679-000,Pataugeoire,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
965,004-0045, ,Aire de jeu  5 à 12 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
966,018-0092, ,Basketball,LaSalle,Récréatif
967,016-0072,0909-000,Balle,Ville-Marie,Sportif
968,025-0002,2014-000,Ciné-parc,Anjou,Loisirs et détente
969,052-0093,2468-000,Patinoire avec bandes,LaSalle,Récréatif
970,004-0128,0948-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
971,052-0130,2850-000,Patinoire avec bandes,Saint-Léonard,Récréatif
972,042-0111,0978-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
973,076-0075,0139-000,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
974,089-0046,1840-000,Volleyball de plage,Le Sud-Ouest,Récréatif
975,003-0321,2920-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
976,021-0021,0938-000,Bocce,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
977,076-0058,2714-000,Soccer à 7,Pierrefonds-Roxboro,Sportif
978,075-0031,2722-000,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
979,004-0097,2421-000,Aire de jeu  5 à 12 ans,Lachine,Aire de jeu - enfant
980,016-0090,0157-000,Balle,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
981,016-0057,0207-000,Balle,Rosemont-La Petite-Patrie,Sportif
982,075-0008,0012-000,Soccer à 4-5,Ahuntsic-Cartierville,Sportif
983,003-0202,2652-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
984,067-0003,0025-000,Scène,Ahuntsic-Cartierville,Loisirs et détente
985,004-0071,0002-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
986,089-0039,2907-000,Volleyball de plage,Verdun,Récréatif
987,004-0409,0114-001,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
988,004-0257,2899-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
989,004-0263,2924-000,Aire de jeu  5 à 12 ans,Verdun,Aire de jeu - enfant
990,055-0033,2730-019,Piscine extérieure,Pierrefonds-Roxboro,Récréatif
991,042-0115,0924-000,Jeux d'eau,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
992,013-0029,2898-000,Aire d'exercice canin,Verdun,Loisirs et détente
993,073-0104,1267-000,Soccer à 11,Anjou,Sportif
994,076-0112,0692-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
995,073-0101, ,Soccer à 11,Mercier-Hochelaga-Maisonneuve,Sportif
996,071-0025,2403-000,Sentier pédestre,Lachine,Plein air
997,076-0022,2430-002,Soccer à 7,Lachine,Sportif
998,003-0234,2688-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
999,050-0007,2813-000,Pataugeoire,Saint-Laurent,Récréatif
1000,063-0012,1840-000,Quai,Le Sud-Ouest,Plein air
1001,004-0318,0349-000,Aire de jeu  5 à 12 ans,Le Sud-Ouest,Aire de jeu - enfant
1002,018-0044,0298-000,Basketball,Villeray-Saint-Michel-Parc-Extension,Récréatif
1003,076-0150,2853-000,Soccer à 7,Saint-Léonard,Sportif
1004,055-0056,4107-002,Piscine extérieure,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
1005,052-0071,2350-000,Patinoire avec bandes,L'Île-Bizard-Sainte-Geneviève,Récréatif
1006,074-0005-76-S1,1860-012,Soccer sous-terrain à 7,Ahuntsic-Cartierville,Sportif
1007,075-0078,2852-000,Soccer à 4-5,Saint-Léonard,Sportif
1008,003-0481,2001-000,Aire de jeu 18 mois à 5 ans,Anjou,Aire de jeu - enfant
1009,003-0083,0010-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
1010,067-0016,0946-000,Scène,Villeray-Saint-Michel-Parc-Extension,Loisirs et détente
1011,021-0055,2853-000,Bocce,Saint-Léonard,Loisirs et détente
1012,050-0082,0094-000,Pataugeoire,Mercier-Hochelaga-Maisonneuve,Récréatif
1013,005-0015,2673-000,Aire de jeu combiné,Pierrefonds-Roxboro,Aire de jeu - enfant
1014,003-0135,0126-000,Aire de jeu 18 mois à 5 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
1015,049-0028, ,Pastille - Basketball,Montréal-Nord,Récréatif
1016,076-0098,4107-003,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
1017,004-0148,0939-000,Aire de jeu  5 à 12 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
1018,016-0104,2460-000,Balle,LaSalle,Sportif
1019,081-0095,2852-000,Tennis,Saint-Léonard,Sportif
1020,073-0087,2562-000,Soccer à 11,Montréal-Nord,Sportif
1021,013-0025,0170-000,Aire d'exercice canin,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
1022,067-0009,0391-000,Scène,Ville-Marie,Loisirs et détente
1023,018-0101,1078-000,Basketball,Le Sud-Ouest,Récréatif
1024,042-0082,2933-000,Jeux d'eau,Verdun,Récréatif
1025,055-0009,0236-000,Piscine extérieure,Le Plateau-Mont-Royal,Récréatif
1026,018-0034,0211-000,Basketball,Rosemont-La Petite-Patrie,Récréatif
1027,074-0017, ,Soccer / Football,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
1028,053-0083,0083-000,Patinoire sans bandes,Mercier-Hochelaga-Maisonneuve,Récréatif
1029,054-0010,2653-000,Ping-pong,Pierrefonds-Roxboro,Loisirs et détente
1030,004-0296,2461-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
1031,012-0002,2832-000,Aire d'entraînement pour adultes,Saint-Laurent,Loisirs et détente
1032,073-0095-76-S1,0482-000,Soccer sous-terrain à 7,Mercier-Hochelaga-Maisonneuve,Sportif
1033,004-0251,0162-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
1034,055-0061,2559-000,Piscine extérieure,Montréal-Nord,Récréatif
1035,052-0109,0679-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
1036,004-0330,1004-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
1037,065-0016,0256-000,Patinoire 4 saisons,Le Sud-Ouest,Récréatif
1038,003-0185,0251-000,Aire de jeu 18 mois à 5 ans,Ville-Marie,Aire de jeu - enfant
1039,003-0180,2620-000,Aire de jeu 18 mois à 5 ans,Outremont,Aire de jeu - enfant
1040,004-0116,0197-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
1041,016-0149,2001-000,Balle,Anjou,Sportif
1042,012-0020,0160-000,Aire d'entraînement pour adultes,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
1043,076-0138,2001-000,Soccer à 7,Anjou,Sportif
1044,071-0038,2684-000,Sentier pédestre,Pierrefonds-Roxboro,Plein air
1045,005-0027,2459-000,Aire de jeu combiné,LaSalle,Aire de jeu - enfant
1046,013-0027,0179-000,Aire d'exercice canin,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
1047,003-0434, ,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
1048,056-0003,0029-000,Piste cyclable,Ahuntsic-Cartierville,Plein air
1049,073-0080, ,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
1050,072-0029,2560-000,Anneau / Rond de glace,Montréal-Nord,Loisirs et détente
1051,004-0244,0140-000,Aire de jeu  5 à 12 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
1052,013-0013,0202-000,Aire d'exercice canin,Rosemont-La Petite-Patrie,Loisirs et détente
1053,089-0050, ,Volleyball de plage,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
1054,004-0012,2804-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
1055,052-0105,0700-000,Patinoire avec bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
1056,076-0105,0923-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
1057,009-0039,0351-000,Aire de pique-nique,Le Sud-Ouest,Plein air
1058,004-0288,2454-000,Aire de jeu  5 à 12 ans,LaSalle,Aire de jeu - enfant
1059,052-0067,2710-000,Patinoire avec bandes,Pierrefonds-Roxboro,Récréatif
1060,072-0024,2469-000,Anneau / Rond de glace,LaSalle,Loisirs et détente
1061,003-0154,1071-000,Aire de jeu 18 mois à 5 ans,Villeray-Saint-Michel-Parc-Extension,Aire de jeu - enfant
1062,012-0052,2854-000,Aire d'entraînement pour adultes,Saint-Léonard,Loisirs et détente
1063,013-0006,2805-000,Aire d'exercice canin,Saint-Laurent,Loisirs et détente
1064,070-0010,2403-000,Sentier de ski de fond,Lachine,Plein air
1065,076-0051,,Soccer à 7,Pierrefonds-Roxboro,Sportif
1066,055-0069,2010-000,Piscine extérieure,Anjou,Récréatif
1067,042-0092,2453-000,Jeux d'eau,LaSalle,Récréatif
1068,013-0024,0160-000,Aire d'exercice canin,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
1069,043-0001,2414-000,Marina,Lachine,Plein air
1070,050-0020,0413-000,Pataugeoire,Ahuntsic-Cartierville,Récréatif
1071,076-0003,2826-000,Soccer à 7,Saint-Laurent,Sportif
1072,005-0035,2870-000,Aire de jeu combiné,Saint-Léonard,Aire de jeu - enfant
1073,072-0005,2815-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
1074,004-0018,2811-000,Aire de jeu  5 à 12 ans,Saint-Laurent,Aire de jeu - enfant
1075,073-0070,2469-000,Soccer à 11,LaSalle,Sportif
1076,052-0038,2398-000,Patinoire avec bandes,Lachine,Récréatif
1077,075-0016,2430-006,Soccer à 4-5,Lachine,Sportif
1078,053-0032,0946-000,Patinoire sans bandes,Villeray-Saint-Michel-Parc-Extension,Récréatif
1079,003-0325,2442-000,Aire de jeu 18 mois à 5 ans,LaSalle,Aire de jeu - enfant
1080,020-0004,0225-000,Belvédère,Ville-Marie,Loisirs et détente
1081,004-0104,0210-000,Aire de jeu  5 à 12 ans,Rosemont-La Petite-Patrie,Aire de jeu - enfant
1082,075-0005,0035-000,Soccer à 4-5,Ahuntsic-Cartierville,Sportif
1083,095-0048,0509-000,Pétanque,Côte-des-Neiges-Notre-Dame-de-Grâce,Loisirs et détente
1084,003-0095,1024-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
1085,031-0016,2859-000,Étang / lac,Saint-Léonard,Plein air
1086,003-0066,0649-000,Aire de jeu 18 mois à 5 ans,Le Plateau-Mont-Royal,Aire de jeu - enfant
1087,081-0060,2921-00,Tennis,Verdun,Sportif
1088,075-0023,0950-001,Soccer à 4-5,Villeray-Saint-Michel-Parc-Extension,Sportif
1089,013-0012,2431-000,Aire d'exercice canin,Lachine,Loisirs et détente
1090,081-0073,0290-000,Tennis,Le Sud-Ouest,Sportif
1091,063-0009,2907-000,Quai,Verdun,Plein air
1092,002-0016,0085-000,Aire de glissade,Rosemont-La Petite-Patrie,Loisirs et détente
1093,004-0345,0718-000,Aire de jeu  5 à 12 ans,Rivière-des-Prairies-Pointe-aux-Trembles,Aire de jeu - enfant
1094,003-0071,0412-000,Aire de jeu 18 mois à 5 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
1095,074-0001, ,Soccer / Football,Saint-Laurent,Sportif
1096,004-0413,0495-000,Aire de jeu  5 à 12 ans,Mercier-Hochelaga-Maisonneuve,Aire de jeu - enfant
1097,052-0017,0236-000,Patinoire avec bandes,Le Plateau-Mont-Royal,Récréatif
1098,073-0108,2855-000,Soccer à 11,Saint-Léonard,Sportif
1099,073-0085,0679-000,Soccer à 11,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
1100,076-0072, ,Soccer à 7,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
1101,075-0030,2722-000,Soccer à 4-5,Pierrefonds-Roxboro,Sportif
1102,003-0212,2721-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
1103,076-0053,,Soccer à 7,Pierrefonds-Roxboro,Sportif
1104,075-0010,2430-003,Soccer à 4-5,Lachine,Sportif
1105,076-0113,0983-000,Soccer à 7,Rivière-des-Prairies-Pointe-aux-Trembles,Sportif
1106,003-0280,0172-000,Aire de jeu 18 mois à 5 ans,Côte-des-Neiges-Notre-Dame-de-Grâce,Aire de jeu - enfant
1107,024-0002,9503-000,Canöe / Kayak,Pierrefonds-Roxboro,Plein air
1108,050-0006,2797-000,Pataugeoire,Saint-Laurent,Récréatif
1109,020-0006,1053-000,Belvédère,Ville-Marie,Loisirs et détente
1110,074-0008,2430-002,Soccer / Football,Lachine,Sportif
1111,003-0242,2692-000,Aire de jeu 18 mois à 5 ans,Pierrefonds-Roxboro,Aire de jeu - enfant
1112,089-0051,2559-000,Volleyball de plage,Montréal-Nord,Récréatif
1113,053-0072,0700-000,Patinoire sans bandes,Rivière-des-Prairies-Pointe-aux-Trembles,Récréatif
1114,004-0070,0425-000,Aire de jeu  5 à 12 ans,Ahuntsic-Cartierville,Aire de jeu - enfant
1115,003-0248,2364-000,Aire de jeu 18 mois à 5 ans,L'Île-Bizard-Sainte-Geneviève,Aire de jeu - enfant
1116,076-0055,2693-000,Soccer à 7,Pierrefonds-Roxboro,Sportif
1117,053-0066,0348-000,Patinoire sans bandes,Le Sud-Ouest,Récréatif
1118,013-0036,0256-000,Aire d'exercice canin,Le Sud-Ouest,Loisirs et détente
1119,053-0046,2660-000,Patinoire sans bandes,Pierrefonds-Roxboro,Récréatif
1120,055-0017,2398-000,Piscine extérieure,Lachine,Récréatif
1121,042-0019,0336-000,Jeux d'eau,Le Plateau-Mont-Royal,Récréatif
1122,073-0019,2391-000,Soccer à 11,Lachine,Sportif
1123,003-0101,2419-000,Aire de jeu 18 mois à 5 ans,Lachine,Aire de jeu - enfant
1124,018-0083,0166-000,Basketball,Côte-des-Neiges-Notre-Dame-de-Grâce,Récréatif
1125,053-0043, ,Patinoire sans bandes,Ville-Marie,Récréatif
1126,073-0024, ,Soccer à 11,Lachine,Sportif
1127,076-0021,2430-004,Soccer à 7,Lachine,Sportif
1128,003-0445,2563-000,Aire de jeu 18 mois à 5 ans,Montréal-Nord,Aire de jeu - enfant
1129,042-0059,2357-000,Jeux d'eau,L'Île-Bizard-Sainte-Geneviève,Récréatif
1130,058-0010,1860-013,Piste d'athlétisme (400m) et équipements,Côte-des-Neiges-Notre-Dame-de-Grâce,Sportif
1131,072-0011,2816-000,Anneau / Rond de glace,Saint-Laurent,Loisirs et détente
1132,050-0079,0492-000,Pataugeoire,Mercier-Hochelaga-Maisonneuve,Récréatif
1133,016-0113,0345-000,Balle,Le Sud-Ouest,Sportif
1134,003-0320,2919-000,Aire de jeu 18 mois à 5 ans,Verdun,Aire de jeu - enfant
